[2023-10-17 15:05:42] [INFO   ] Generating Test Report 
[2023-10-17 15:05:43] [INFO   ] Generating test report 
[2023-10-17 15:05:43] [INFO   ] Generating test report 
[2023-10-17 15:05:43] [INFO   ] Fetching data from the data provider 'EG_login' 
[2023-10-17 15:05:45] [INFO   ] Setting up the browser... 
[2023-10-17 15:05:48] [INFO   ] Started measuring time 2023-10-17T09:35:48.882053954Z 
[2023-10-17 15:05:48] [INFO   ] Executing LM_L_LIP Test Cases 
[2023-10-17 15:05:48] [INFO   ] Executing login test cases... 
[2023-10-17 15:05:48] [INFO   ] Entering username: eg_admin 
[2023-10-17 15:05:51] [INFO   ] Entering password... 
[2023-10-17 15:05:51] [INFO   ] Clicking on login button... 
[2023-10-17 15:05:56] [INFO   ] Clicking Logout... 
[2023-10-17 15:05:58] [INFO   ] IP Login test cases executed successfully. 
[2023-10-17 15:05:58] [INFO   ] LM_L_LIP Test Cases Execution Completed 
[2023-10-17 15:05:58] [INFO   ] Time elapsed - [In milli-seconds: 9360] [In seconds:9.36] 
[2023-10-17 15:05:59] [INFO   ] Fetching data from the data provider 'prerak_login' 
[2023-10-17 15:05:59] [INFO   ] Setting up the browser... 
[2023-10-17 15:05:59] [INFO   ] Started measuring time 2023-10-17T09:35:59.967688427Z 
[2023-10-17 15:05:59] [INFO   ] Executing LM_L_LP method 
[2023-10-17 15:05:59] [INFO   ] Executing prerak login LM_L_LP test 
[2023-10-17 15:05:59] [INFO   ] Entering username: varunb_b_9960051486 
[2023-10-17 15:06:02] [INFO   ] Entering password... 
[2023-10-17 15:06:04] [INFO   ] Clicking on login button... 
[2023-10-17 15:06:06] [WARNING] Test LM_L_LP failed. Capturing screenshot... 
[2023-10-17 15:06:07] [INFO   ] Setting up the browser... 
[2023-10-17 15:06:08] [INFO   ] Started measuring time 2023-10-17T09:36:08.103232731Z 
[2023-10-17 15:06:08] [INFO   ] PM_PPE_PP_PrerakHome method 
[2023-10-17 15:06:08] [INFO   ] Executing common login... 
[2023-10-17 15:06:08] [INFO   ] Entering username: varunb_b_9960051486 
[2023-10-17 15:06:10] [INFO   ] Entering password... 
[2023-10-17 15:06:12] [INFO   ] Clicking on login button... 
[2023-10-17 15:06:12] [INFO   ] Common login executed successfully. 
[2023-10-17 15:06:12] [INFO   ] Executing PM_PPE_PP_PrerakProfileEdit test cases... 
[2023-10-17 15:06:14] [INFO   ] Clicking sidebar 
[2023-10-17 15:06:15] [INFO   ] Clicking Profile 
[2023-10-17 15:06:19] [INFO   ] Clicking editBasicDetails 
[2023-10-17 15:06:20] [INFO   ] Clicking editName 
[2023-10-17 15:06:21] [INFO   ] Clicking editContactDetails 
[2023-10-17 15:06:23] [INFO   ] Clicking editAddressDetails 
[2023-10-17 15:06:26] [INFO   ] Clicking editPersonalDetails 
[2023-10-17 15:06:28] [INFO   ] Clicking editReferenceDetails 
[2023-10-17 15:06:30] [INFO   ] Clicking editOtherDetails 
[2023-10-17 15:06:32] [INFO   ] PM_PPE_PP_PrerakProfileEdit executed successfully. 
[2023-10-17 15:06:32] [INFO   ] Test case execution completed 
[2023-10-17 15:06:32] [INFO   ] Time elapsed - [In milli-seconds: 24403] [In seconds:24.403] 
[2023-10-17 15:06:32] [INFO   ] Fetching data from the data provider 'editName' 
[2023-10-17 15:06:32] [INFO   ] Setting up the browser... 
[2023-10-17 15:06:33] [INFO   ] Started measuring time 2023-10-17T09:36:33.895870124Z 
[2023-10-17 15:06:33] [INFO   ] EditPrerakDetails_PM_PPE_PP_editName method 
[2023-10-17 15:06:33] [INFO   ] Executing common login... 
[2023-10-17 15:06:33] [INFO   ] Entering username: varunb_b_9960051486 
[2023-10-17 15:06:37] [INFO   ] Entering password... 
[2023-10-17 15:06:38] [INFO   ] Clicking on login button... 
[2023-10-17 15:06:39] [INFO   ] Common login executed successfully. 
[2023-10-17 15:06:39] [INFO   ] Executing PM_PPE_PP_editName test cases... 
[2023-10-17 15:06:42] [INFO   ] Clicking sidebar 
[2023-10-17 15:06:43] [INFO   ] Clicking Profile 
[2023-10-17 15:06:46] [INFO   ] Clicking editBasicDetails 
[2023-10-17 15:06:47] [INFO   ] Clicking editName 
[2023-10-17 15:06:48] [INFO   ] Entering First Name 
[2023-10-17 15:06:51] [INFO   ] Entering Middle Name 
[2023-10-17 15:06:54] [INFO   ] Entering Last Name 
[2023-10-17 15:06:57] [INFO   ] Selecting Year 
[2023-10-17 15:06:58] [INFO   ] Selecting Month 
[2023-10-17 15:06:59] [INFO   ] Selecting Day 
[2023-10-17 15:07:00] [INFO   ] Clicking Save 
[2023-10-17 15:07:01] [INFO   ] PM_PPE_PP_editName Test executed successfully. 
[2023-10-17 15:07:01] [INFO   ] PM_PPE_PP_editName Test case execution completed 
[2023-10-17 15:07:01] [INFO   ] Time elapsed - [In milli-seconds: 27903] [In seconds:27.903] 
